district_id,latitude,longitude
327,21.75,86.5
328,17.9375095,78.21174499
329,28.9963296,77.7061915
330,27.99458775,76.99369132
331,22.3,87.92
332,22.43,87.32
333,25.1010477,82.62574936
334,30.79212755,75.14613426
335,26.666667,95.0
336,28.90919285,78.81392764
337,26.166667,77.5
338,30.2828494,74.51283769
339,18.9387711,72.8353355
340,19.13095765,72.88593095
341,22.24527095,81.65362248
342,25.0,86.25
343,24.1745993,88.2721335
344,29.44800635,77.74068503
345,26.1182898,85.3857888
346,12.3051828,76.6553609
347,23.25,88.5
348,26.30414915,92.71605974
349,10.7647952,79.8430779
350,27.0237969,74.2037201
351,21.1500964,79.0127049
352,29.3920381,79.4555358
353,25.1364914,85.44365465
354,26.42386165,91.45122755
355,16.8579636,79.21749353
356,11.2191692,78.16787
357,18.916667,77.5
358,21.363778,74.2411418
359,19.7191529,81.244411
360,23.1285587,72.1373584
361,22.95,79.19
362,19.9615591,73.8316941
363,20.952407,72.9323831
364,20.1160666,85.11195644
365,14.4493717,79.9873763
366,28.6141793,77.2022662
367,18.6732693,78.0978477
368,25.5,93.0
369,27.666667,88.5
370,28.4808629,77.0848883
371,24.0921476,92.24512135
372,28.4808629,77.0848883
373,18.1853567,76.0420253
374,10.80818325,76.63839415
375,25.75,73.5
376,28.1405741,77.3259802
377,23.0,74.0
378,30.6975401,76.8551066
379,29.3912753,76.9771675
380,24.5,80.25
381,19.262469,76.7718
382,23.7694,71.68852924
383,32.2692452,75.6528858
384,30.2389556,76.33093721
385,25.6093239,85.1235252
386,30.15,78.78
387,11.2359165,78.868811
388,28.55,80.1
389,29.55701405,80.23183521
390,21.6409,69.611
391,15.5,79.5
392,24.0333495,74.7801315
393,11.9340568,79.8306447
394,10.5,78.833333
395,33.8756947,74.9003129
396,33.7085899,74.2476587
397,18.5203062,73.8543185
398,19.69951125,85.83105072
399,25.7773601,87.4731227
400,23.3698742,86.3349104
401,26.23,81.23
402,16.083333,77.166667
403,22.06655085,83.30960955
404,20.6985098,82.16025841
405,23.25,78.083333
406,23.833333,76.75
407,22.3045769,70.802161
408,33.3771375,74.3135712
409,25.29331955,73.82550849
410,12.7252766,77.2804797
411,9.3652354,78.8343193
412,33.3297209,75.19690495
413,28.80594795,79.05886244
414,17.1333954,78.39709787
415,23.583333,75.166667
416,17.2804202,73.45060909
417,18.96599855,84.19287455
418,33.2093933,74.86129599
419,24.75,81.5
420,28.1956468,76.6165179
421,25.89139775,91.85376526
422,28.833333,76.666667
423,24.94230855,84.01617749
424,30.3009965,79.06287965
425,30.983333,76.516667
426,24.0294885,73.0459884
427,23.8417793,78.7466817
428,30.0196485,77.59294245
429,26.0,86.75
430,30.7287676,76.7138075
431,11.6612012,78.1602498
432,25.75,85.916667
433,32.57272925,75.17594912
434,28.58,78.55
435,21.4,83.883333
436,16.8502534,74.5948885
437,30.2432006,75.8358123
438,26.75664945,83.1362123
439,25.3560294,82.50057725
440,25.916667,84.75
441,17.64154745,74.30566452
442,24.5,81.0
443,26.5,76.75
444,23.25,77.25
445,25.39336975,94.15051748
446,22.416667,79.666667
447,23.5,81.5
448,27.82877265,79.82471527
449,23.5,76.25
450,29.45,77.31
451,26.166667,84.5
452,26.4863226,85.26901003
453,31.1041526,77.1709729
454,13.9311723,75.569737
455,25.5,78.0
456,33.718807,74.8333311
457,27.25264095,82.86964796
458,24.25,82.0
459,27.583333,75.166667
460,16.13282095,73.65739818
461,24.1974432,82.6661453
462,30.75,77.5
463,24.833333,72.75
464,29.583333,75.083333
465,26.666667,85.5
466,27.62656625,80.6824125
467,9.8486881,78.4870461
468,26.9834936,94.6394226
469,26.166667,84.5
470,30.92589585,77.08200509
471,17.6715272,75.8975502
472,24.38657525,83.07863061
473,28.99,77.02
474,20.8453864,83.909083
475,26.76777075,92.70140886
476,27.333333,88.416667
477,23.5,91.666667
478,28.4808629,77.0848883
479,18.32002205,83.9160772
480,34.0747444,74.8204443
481,26.25,82.0
482,22.25,84.5
483,26.2795226,86.78994114
484,23.212528,82.8667246
485,21.1864607,72.8081281
486,22.75,71.666667
487,23.25,83.0
488,21.190545,73.5587462
489,31.32515685,74.83263932
490,19.1943294,72.9701779
491,10.7860267,79.1381497
492,11.4,76.7
493,10.0108143,77.4810104
494,13.1394358,79.9073038
495,10.7666538,79.6352476
496,8.8052602,78.1452745
497,25.0339746,94.3582034
498,10.5256633,76.2131442
499,24.75,79.0
500,27.52016575,95.53063473
501,27.5013437,96.5242944
502,10.804973,78.6870296
503,8.7295261,77.6852354
504,11.1671878,77.3472673
505,12.2343228,79.0761989
506,26.1647019,75.576596
507,8.5058909,76.9570481
508,13.4999406,77.0002445
509,28.1701779,94.79801
510,24.578721,73.6862571
511,26.7764803,92.10537534
512,29.0480988,79.43131332
513,32.9219726,75.1331482
514,23.174597,75.7851423
515,23.5245108,80.8364652
516,31.583333,76.25
517,26.5,80.5
518,31.0,78.5
519,22.297076,73.1957373
520,25.75,85.416667
521,20.43342955,73.14844419
522,25.3356491,83.0076292
523,12.9071753,79.1309695
524,23.916667,78.0
525,11.94596,79.497414
526,9.5822396,77.9536831
527,17.7231276,83.3012842
528,27.4,92.35
529,28.4,94.55
530,17.9899747,79.6043994
531,20.4355888,78.6463504
532,20.30660915,77.2420018
533,28.4808629,77.0848883
534,27.333333,88.25
535,25.60780175,90.20380106
536,17.0,81.166667
537,21.82,75.61
538,23.916667,91.5
539,26.0978958,94.2548445
540,16.7689044,77.1380381
541,30.13,77.28
542,20.39,78.13
